
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC2046/PR2/01,120,15.01.2019 13:00:00,75
CSC2046/PR2/01,120,22.01.2019 13:00:00,75
CSC2046/PR2/01,120,29.01.2019 13:00:00,75
CSC2046/PR2/01,120,05.02.2019 13:00:00,75
CSC2046/PR2/01,120,12.02.2019 13:00:00,75
CSC2046/PR2/01,120,19.02.2019 13:00:00,75
CSC2046/PR2/01,120,26.02.2019 13:00:00,75
CSC2046/PR2/01,120,05.03.2019 13:00:00,75
CSC2046/PR2/01,120,12.03.2019 13:00:00,75
CSC2046/PR2/01,120,19.03.2019 13:00:00,75
CSC2046/PR2/01,120,26.03.2019 13:00:00,75
CSC2046/PR2/01,120,02.04.2019 13:00:00,75
CSC3021/PR1/01,120,24.09.2018 15:00:00,100
CSC3021/PR1/01,120,01.10.2018 15:00:00,100
CSC3021/PR1/01,120,08.10.2018 15:00:00,100
CSC3021/PR1/01,120,15.10.2018 15:00:00,100
CSC3021/PR1/01,120,22.10.2018 15:00:00,100
CSC3021/PR1/01,120,29.10.2018 15:00:00,100
CSC3021/PR1/01,120,05.11.2018 15:00:00,100
CSC3021/PR1/01,120,12.11.2018 15:00:00,100
CSC3021/PR1/01,120,19.11.2018 15:00:00,100
CSC3021/PR1/01,120,26.11.2018 15:00:00,100
CSC3021/PR1/01,120,03.12.2018 15:00:00,100
CSC3021/PR1/01,120,10.12.2018 15:00:00,100
CSC3056/PR1/01,120,14.02.2019 09:00:00,150
CSC3056/PR1/01,120,21.02.2019 09:00:00,150
CSC3056/PR1/01,120,28.02.2019 09:00:00,150
CSC3056/PR1/01,120,07.03.2019 09:00:00,150
CSC3056/PR1/01,120,14.03.2019 09:00:00,150
CSC3056/PR1/01,120,21.03.2019 09:00:00,150
CSC3058/TT1/01,120,04.10.2018 09:00:00,150
CSC3058/TT1/01,120,11.10.2018 09:00:00,150
CSC3058/TT1/01,120,18.10.2018 09:00:00,150
CSC3058/TT1/01,120,25.10.2018 09:00:00,150
CSC3058/TT1/01,120,01.11.2018 09:00:00,150
CSC3058/TT1/01,120,08.11.2018 09:00:00,150
CSC3058/TT1/01,120,15.11.2018 09:00:00,150
CSC3058/TT1/01,120,22.11.2018 09:00:00,150
CSC3058/TT1/01,120,29.11.2018 09:00:00,150
CSC3058/TT1/01,120,06.12.2018 09:00:00,150
CSC3058/TT1/01,120,13.12.2018 09:00:00,150
CSC3061/PR1/01,120,16.01.2019 13:00:00,60
CSC3061/PR1/01,120,23.01.2019 13:00:00,60
CSC3061/PR1/01,120,30.01.2019 13:00:00,60
CSC3061/PR1/01,120,06.02.2019 13:00:00,60
CSC3061/PR1/01,120,13.02.2019 13:00:00,60
CSC3061/PR1/01,120,20.02.2019 13:00:00,60
CSC3061/PR1/01,120,27.02.2019 13:00:00,60
CSC3061/PR1/01,120,06.03.2019 13:00:00,60
CSC3061/PR1/01,120,13.03.2019 13:00:00,60
CSC3061/PR1/01,120,20.03.2019 13:00:00,60
CSC3061/PR1/01,120,27.03.2019 13:00:00,60
CSC3061/PR1/01,120,03.04.2019 13:00:00,60
CSC3062/PR1/01,120,25.09.2018 12:00:00,160
CSC3062/PR1/01,120,02.10.2018 12:00:00,160
CSC3062/PR1/01,120,09.10.2018 12:00:00,160
CSC3062/PR1/01,120,16.10.2018 12:00:00,160
